序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,1/3/2/2/6/6,,快樂奇兵,H297,135,潘頓,,7,賀賢,-,40,6,,-,1.22.77,6,-,閹,"590,625",1,18,CP/XB,蔡鎮光
2,10/7/6/7/11/9,,悠悠乾坤,K059,133,艾道拿,,4,大衛希斯,-,38,-2,,-,,5,-,閹,0,+ 1,21,TT,智多寶團體
3,3/4/6/14/7/11,,同喜,J403,133,布文,,13,韋達,-,38,-1,,-,,5,-,閹,"100,625",+ 1,18,,同進團體
4,1/11/1/8/8/12,,荃程路通,E403,132,黃寶妮 (-7),,11,文家良,-,37,9,,-,1.21.64,8,-,閹,"490,000",1,18,TT,馬舜玲遺產執行人
5,9/11/3/10/4/12,,發光發亮,H385,131,蔡明紹,,3,葉楚航,-,36,-2,,-,1.21.73,5,-,閹,0,+ 1,7,V-/TT,吃喝玩樂團體
6,11/13/2/9/4/1,,朗日雪峰,J187,131,霍宏聲,,8,方嘉柏,-,36,-1,,-,1.21.82,5,-,閹,0,* 1,15,V-/B2/TT,石達傑與史麗明
7,4/5/7/6/12/4,,幸運福星,K073,130,黃智弘 (-5),,2,巫偉傑,-,35,-2,,-,1.22.79,4,-,閹,"83,125",+ 1,18,TT,幸運冠軍團體
8,12/8/12/11/11/10,,東昇鉞,J264,128,楊明綸,,5,蘇偉賢,-,33,-2,,-,,4,-,閹,0,* 1,39,B,江永明與江俊文
9,3/11/5/7/6/8,,爆熱,G368,127,鍾易禮 (-2),,10,告東尼,-,32,0,,-,1.22.28,6,-,閹,"100,625",+ 1,15,TT,何猷亨
10,14/8/12/10/12/9,,歷險大將,J344,126,奧爾民,,12,徐雨石,-,31,-2,,-,1.23.97,4,-,閹,0,1,18,,余智偉與Dr Jennie Peterson Yu
11,6/11/6/6/11/5,,全神貫注,H465,125,周俊樂 (-2),,6,姚本輝,-,30,-2,,-,1.22.71,5,-,閹,"17,500",* 1,18,PC,陳俊寧
12,8/7/4/5/12/10,,專家,J028,120,班德禮,,9,丁冠豪,-,25,-2,,-,,6,-,閹,0,+ 1,18,,專競聯盟團體
13,5/12/11/7/5/9,,嘉應威風,H169,120,巴度,,14,蔡約翰,-,25,-2,,-,1.22.27,5,-,閹,"30,625",+ 1,15,B,黃彩霞與梁暐卓
14,12/5/2/9/7/11,,飛躍凱旋,G250,119,田泰安,,1,桂福特,-,24,-2,,-,1.22.21,7,-,閹,0,+ 1,18,V2,持續經營團體
