序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,1/11/4/2,,常嚐發財,K293,132,楊明綸,,12,丁冠豪,-,59,7,,-,0.56.34,4,-,閹,"655,200",1,21,CP,為善聚樂賽馬團體
2,-,,踏雪尋梅,K451,125,霍宏聲,,9,韋達,-,52,-,,-,,3,-,閹,0,+ 1,-,B1,張佐治先生及夫人與張兆興
3,4,,小魔怪,K391,125,周俊樂 (-2),,3,巫偉傑,-,52,0,,-,0.56.85,4,-,閹,"70,200",1,21,H/TT,鄭新潼與陳鈺媚
4,5/2,,賢者威楓,K040,125,布文,,7,賀賢,-,52,0,,-,,4,-,閹,0,+ 1,119,H,23/24 賀賢練馬師賽馬團體
5,3,,官金騏,K485,125,潘頓,,8,文家良,-,52,0,,-,0.56.81,4,-,閹,0,+ 1,110,,郭明莉
6,-,,俏眼光,L003,125,田泰安,,10,蔡約翰,-,52,-,,-,,4,-,閹,0,1,-,,譚智峯與潘子聰醫生
7,-,,鳳翼天翔,K404,125,艾道拿,,14,伍鵬志,-,52,-,,-,,4,-,閹,0,1,-,,鄧紹坤
8,-,,勁駿齊心,K219,125,巫顯東 (-2),,2,蘇偉賢,-,52,-,,-,,4,-,閹,0,* 1,-,TT1,加家樂團體
9,3/7/2/11/4,,團結勇士,K340,124,梁家俊,,13,鄭俊偉,-,51,-2,,-,0.55.94,4,-,閹,0,* 1,98,TT,陳添成與彭慧克
10,6/11/11/7/3/2,,快樂高球,J222,123,班德禮,,1,羅富全,-,50,-2,,-,0.56.62,5,-,閹,"23,400",+ 1,21,B,黃進達
11,6/1/11/10/6/1,,有你有我,H057,123,巴度,,11,廖康銘,-,50,0,,-,0.57.21,7,-,閹,"678,600",* 1,15,H/P/TT,張國林、張世強與許嘉猷
12,3/2/6/2/10/12,,加州本事,J370,122,蔡明紹,,6,巫偉傑,-,49,1,,-,,4,-,閹,"380,250",2,15,B/TT,梁樂皓玲
13,14/11,,駿皇勝,J411,122,黃智弘 (-5),,5,葉楚航,-,49,-3,,-,,6,-,閹,0,* 1,106,B1,譚少強
14,9/14/10,,閃電星福,K431,120,金誠剛,,4,沈集成,-,47,-2,,-,0.58.52,4,-,閹,0,+ 1,28,H/TT,鄧建南
