序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,2/5/1,,火悟空,K335,135,艾兆禮,,13,姚本輝,-,60,1,,-,1.21.89,4,-,閹,"245,700",+ 1,21,TT1,陳錦坤
2,12/9/8/6/8/9,,榮利雙收,K382,131,艾道拿,,2,大衛希斯,-,56,-1,,-,1.22.38,4,-,閹,0,* 2,28,CP,陳錦榮、何詩雅、梁均棠與李觀勝
3,5/2,,凱旋王者,K240,129,潘頓,,4,羅富全,-,54,0,,-,1.22.23,4,-,閹,"286,650",+ 1,18,CP,文肇偉
4,2/7/8/9/9/9,,友瑩仁,J180,128,何澤堯,,11,伍鵬志,-,53,0,,-,1.21.33,5,-,閹,"245,700",+ 1,35,H/TT,友瑩馬主團體
5,1/3/3/2/5/7,,一生好彩,K114,128,周俊樂 (-2),,12,廖康銘,-,53,8,,-,1.21.71,4,-,閹,"789,750",1,21,XB,軍機八皇團體
6,2/6/7,,如蝶翩翩,K278,128,布文,,1,游達榮,-,53,1,,-,1.22.03,4,-,閹,"245,700",+ 1,18,,好兄弟團體
7,3/9/4,,大千雄心,K398,126,霍宏聲,,14,方嘉柏,-,51,0,,-,1.21.82,4,-,閹,"134,550",1,15,TT,梁仕天
8,8/5/3/3/2,,彩虹七色,K145,126,梁家俊,,8,呂健威,-,51,-1,,-,1.22.41,4,-,閹,0,* 2,18,,周熙晟與周毓然
9,6/4/3,,天蓬貓,K280,126,田泰安,,7,巫偉傑,-,51,-1,,-,1.21.90,4,-,閹,0,+ 1,98,TT,歐志浩先生及夫人
10,8/11/14/12/9/9,,萬事得意,K171,123,金誠剛,,6,告東尼,-,48,-2,,-,,5,-,閹,0,1,15,B/TT,十全勝團體
11,6/7/7,,金快飛飛,K121,122,班德禮,,10,丁冠豪,-,47,-3,,-,,4,-,閹,0,* 2,98,SR1/TT,安欣團體
12,12/11/9,,暴風一族,K104,122,希威森,,3,黎昭昇,-,47,-3,,-,1.22.61,4,-,閹,0,+ * 2,106,TT,那些年團體
13,9/11/6/10,,長峰小子,K117,120,潘明輝,,5,賀賢,-,45,-2,,-,1.22.45,4,-,閹,0,* 1,21,,潘可榮、李鉅程與潘自強
14,7/11/2/2/3/5,,多彩多姿,J312,116,楊明綸,,9,蘇偉賢,-,41,-2,,-,1.21.92,5,-,閹,0,* 2,21,B,黃宓芝
