序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,2/1/4/10,,辣得準,J520,135,艾道拿,,8,蔡約翰,-,60,2,,-,1.08.67,4,-,閹,"900,900",+ 1,21,,吳創木
2,7/-/1,,友瑩亮,K400,134,何澤堯,,12,伍鵬志,-,59,0,,-,1.09.39,4,-,閹,0,+ 1,28,CP,胡珮君與楊毅
3,1,,包裝戰將,K442,134,潘頓,,9,呂健威,-,59,7,,-,1.08.69,4,-,閹,"655,200",+ 1,21,,開心開心團體
4,1/9/6,,會當凌,K122,131,周俊樂 (-2),,6,巫偉傑,-,56,7,,-,1.09.63,4,-,閹,"655,200",* 1,28,TT,軍機八皇團體
5,8/8/6/8/7,,戰寶,K257,130,艾兆禮,,3,游達榮,-,55,-3,,-,1.09.34,4,-,閹,0,* 1,98,XB/TT,許晋亨
6,12/2/14,,嘉應駿昇,K247,128,田泰安,,1,大衛希斯,-,53,0,,-,1.11.01,4,-,閹,0,* 1,113,BO/TT,梁暐卓
7,3,,洪才,K487,127,布文,,11,蘇偉賢,-,52,0,,-,1.10.41,4,-,閹,"134,550",+ 1,28,TT,梁麟炳與梁頴頤
8,2/5/7/6,,葳莉非凡,K297,125,黃智弘 (-5),,2,方嘉柏,-,50,2,,-,1.09.34,4,-,閹,0,* 1,98,B-/PC1/TT,莊友衡
9,9/12,,冠輝皇,K269,124,潘明輝,,10,姚本輝,-,49,-2,,-,1.09.55,4,-,閹,0,* 1,15,TT,23/24 姚本輝練馬師賽馬團體 (2)
10,13/12,,金玉良言,J499,124,奧爾民,,5,賀賢,-,49,-3,,-,1.11.60,5,-,閹,0,* 1,98,,韓慶璋醫生及夫人
11,3/10/5/4/8/3,,手錶之星,H483,124,霍宏聲,,4,廖康銘,-,49,0,,-,1.09.01,6,-,閹,"134,550",+ 1,21,B,楊潔怡
12,10/6/12,,天比高,K339,122,梁家俊,,7,葉楚航,-,47,-2,,-,1.09.82,4,-,閹,0,* 1,28,,最愛馬團體
