序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,3/6/10/3/3/4,,非惟僥倖,J050,135,霍宏聲,,8,姚本輝,-,80,-1,,-,1.35.68,6,-,閹,0,* 1,218,P/TT,姜炳輝
2,11/2/8/7/1/5,,金勝名駒,H461,134,金誠剛,,3,蘇偉賢,-,79,0,,-,1.34.40,5,-,閹,"390,600",+ 1,21,TT,勝利朋友團體
3,5/1/3/2/2/5,,元朗精英,J272,131,楊明綸,,12,文家良,-,76,0,,-,1.34.30,5,-,閹,"71,750",+ 1,21,TT,元朗商會之友團體
4,1/11/4/4/4/4,,幸運派彩,K313,130,奧爾民,,2,徐雨石,-,75,6,,-,1.34.07,4,-,閹,"2,648,000",+ 1,21,TT,鄭則然
5,3/1/2,,美麗星晨,K491,129,潘頓,,10,告東尼,-,74,0,,-,1.34.29,3,-,閹,"235,750",1,21,TT,郭羅桂珍與郭浩泉
6,9/3/6/4/12/1,,我做到,H381,129,艾兆禮,,5,伍鵬志,-,74,0,,-,1.35.06,6,-,閹,"235,750",1,32,H/TT,丁永強先生及夫人
7,1/2/6/2/11/4,,龍城精將,K203,127,布文,,7,韋達,-,72,6,,-,1.34.34,4,-,閹,0,* 1,119,XB,布魯士先生及夫人
8,2/1/1/5/11/1,,英駿飛駒,H376,123,艾道拿,,1,游達榮,-,68,2,,-,1.33.66,6,-,閹,0,+ 1,98,B/XB/TT,陳柏濠、陳子光與陳俊燊
9,5/13,,加州熱浪,K477,122,周俊樂 (-2),,6,巫偉傑,-,67,0,,-,,4,-,閹,"65,100",* 1,35,XB/TT,梁舜茵
10,1/1/4/2/2/2,,勁沙塵,J514,122,巴度,,4,廖康銘,-,67,6,,-,,5,-,閹,"1,696,800",1,18,TT,吳宇超與杜傲豐
11,2/10/14/1/4/2,,八仟財陞,J442,121,梁家俊,,13,羅富全,-,66,2,,-,1.34.11,5,-,閹,"430,500",1,21,B,霍玉堂
12,7/8/1/3/4/2,,滿心星,K054,120,黃智弘 (-5),,11,方嘉柏,-,65,0,,-,1.34.42,4,-,閹,0,+ 1,18,XB-/TT,關瀚明
13,6/3/3/1/8/5,,泰泰精神,K007,120,蔡明紹,,14,蔡約翰,-,65,0,,-,,5,-,閹,"251,100",1,21,,方振文、方振強與方素貞
14,4/1/2/1/6/3,,火焰閃爍,K098,116,田泰安,,9,大衛希斯,-,61,0,,-,1.33.86,4,-,閹,"123,000",+ 1,21,CP-/B1,黃堅策與梁綺雲
