序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,4/6/1/2/8/9,,時尚歡欣,H041,135,周俊樂 (-2),,3,鄭俊偉,-,60,0,,-,1.21.36,7,-,閹,"70,200",+ 1,15,TT,自己友歡樂團體
2,9/14,,令狐沖,J341,135,黃智弘 (-5),,7,游達榮,-,60,-2,,-,1.22.15,6,-,閹,0,* 2,21,B/XB/TT,拔萃78團體
3,4/3/1/10/9/14,,精算激流,J228,128,艾道拿,,12,蔡約翰,-,53,0,,-,1.21.54,5,-,閹,"204,750",1,18,TT,龐熙霆
4,11/11/9/6/6/3,,戀愛狂,K118,127,布文,,11,葉楚航,-,52,-2,,-,1.22.16,5,-,閹,0,* 1,15,TT,雪粉團體
5,9/3/1/1/5/4,,加州活力,J131,126,鍾易禮 (-2),,2,告東尼,-,51,0,,-,1.22.09,4,-,閹,0,* 2,98,B/TT,梁舜茵
6,8/14,,黃金騎士,K341,125,何澤堯,,5,呂健威,-,50,-2,,-,,4,-,閹,0,+ 1,98,XB,顏炳誠、顏美斯、顏經緯與顏志緯
7,5/6/8/8/9/6,,自動自覺,K080,124,巴度,,8,羅富全,-,49,-2,,-,,3,-,閹,"64,350",* 2,21,TT,紅駿團體
8,3/3/3/2/5/3,,豐辰,K004,124,奧爾民,,9,徐雨石,-,49,0,,-,1.21.51,4,-,閹,"269,100",+ 1,21,H,無極限團體
9,2/7/7/12/5/3,,金風萬里,K150,123,潘頓,,13,黎昭昇,-,48,0,,-,1.22.23,4,-,閹,"245,700",+ 1,18,H/TT,Syed Pervez Hussain
10,3/12/5/1/11/2,,文明福星,J315,122,潘大衛,,14,大衛希斯,-,47,1,,-,1.21.93,5,-,閹,"134,550",1,18,BO/H,馬慶文
11,10/10/7/4/7/1,,始終如一,J392,120,金誠剛,,10,蘇偉賢,-,45,-2,,-,1.21.99,5,-,閹,0,* 1,42,CP/TT,陳榮展與李洁
12,10/12/13/13,,浪漫喜宴,K372,120,巫顯東 (-2),,1,姚本輝,-,45,-2,,-,,4,-,閹,0,* 2,21,,邵亮標、何惠雄、林松威與鄭子信
13,9/9/8/11/3,,前衛火影,K103,119,田泰安,,4,丁冠豪,-,44,-4,,-,1.22.44,4,-,閹,0,+ 1,154,SR/TT,陳子文與陳博翰
14,14/9/9/12/11,,籐王駒,K143,117,潘明輝,,6,文家良,-,42,-2,,-,1.22.22,4,-,閹,0,1,28,TT,王定波
