序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,5/9/2/6/1/4,,神馳,J321,135,布文,,5,蔡約翰,-,80,-1,,-,1.20.81,5,-,閹,"99,400",1,21,,榮智健
2,11/1/5/2/1/4,,非凡豪傑,J445,130,班德禮,,4,巫偉傑,-,75,0,,-,1.21.10,5,-,閹,0,1,21,XB/TT,23/24 巫偉傑練馬師賽馬團體
3,2/1/6/10/4,,大眾福星,K172,127,潘頓,,10,羅富全,-,72,1,,-,1.21.27,5,-,閹,0,1,141,,大眾開心團體
4,5/2/1/11/7/10,,駿奕快車,J188,127,潘明輝,,14,姚本輝,-,72,0,,-,1.21.24,5,-,閹,"65,100",1,11,V/TT,陳振彬
5,2/6/1/11/3/2,,哈羅威,J280,124,周俊樂 (-2),,2,呂健威,-,69,2,,-,1.21.43,5,-,閹,"427,800",1,18,V/XB,哈羅團體
6,9/9/6/6/9/3,,假面騎士,K169,124,蔡明紹,,3,蘇偉賢,-,69,-2,,-,,5,-,閹,0,* 1,35,B/TT,無敵軍團團體
7,12/12/9/10/12/14,,確好勁,K199,123,梁家俊,,9,文家良,-,68,-2,,-,1.22.00,4,-,閹,0,* 1,21,H1/TT,程李愛玲
8,10/11/8/8/4/8,,寶賢得得,E430,122,何澤堯,,12,方嘉柏,-,67,-6,,-,1.22.47,8,-,閹,0,+ 1,312,TT,林余寶珠與林孝賢
9,5/6/8/14/9/10,,亞機拉,H113,122,鍾易禮 (-2),,13,告東尼,-,67,-1,,-,1.20.99,6,-,閹,"106,100",1,18,TT,蕭劍新
10,4/1/3/2/4/8,,同心同樂,K081,119,艾兆禮,,8,游達榮,-,64,0,,-,1.21.37,4,-,閹,0,1,98,V/TT,生日快樂團體
11,8,,榮駿大道,K474,119,田泰安,,6,葉楚航,-,64,0,,-,,4,-,閹,0,+ 1,110,B1/TT1,陳仲賢先生及夫人與葛創基先生及夫人
12,10/7/4/7/9/4,,久久為尊,J053,118,金誠剛,,7,大衛希斯,-,63,-2,,-,1.21.34,6,-,閹,0,1,7,B/TT,何駿杰
13,12/10/13,,龍之邦,K079,117,楊明綸,,1,沈集成,-,62,-2,,-,,4,-,閹,0,1,28,H/TT,廖振恒
14,6/7/6,,千杯不醉,K365,116,希威森,1,11,廖康銘,-,61,-2,,-,,4,-,閹,"37,200",1,28,,千杯團體
