序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,13/13/9/8/4/3,,一支箭,H276,135,潘明輝,,10,賀賢,-,58,-2,,-,1.47.87,6,-,閹,0,1,18,B,御精神團體
2,9/11/4/11/7/8,,包裝旋風,H137,134,布文,,13,伍鵬志,-,57,-2,,-,1.46.88,6,-,閹,0,1,18,B/TT,李文恩
3,2/5/6/9/2/5,,爆出美麗,K155,133,潘頓,,5,告東尼,-,56,1,,-,1.46.79,4,-,閹,"286,650",+ 1,18,B/TT,爆美麗團體
4,8/7/9/9/9,,同益善,K254,133,金誠剛,,14,游達榮,-,56,-4,,-,1.47.65,3,-,閹,0,1,113,B-/TT,益善賽馬團體
5,14/6/12/12/14/11,,明亮天下,J170,131,奧爾民,,11,羅富全,-,54,-2,,-,1.47.59,6,-,閹,0,* 1,28,V,丁毓珠、陳文彬、嚴明與孔慶暘
6,8/1/2/8/10/4,,年年友福,G463,129,田泰安,,7,沈集成,-,52,0,,-,1.47.13,7,-,閹,"655,200",+ 1,18,B/TT,蘇永強
7,-,,佰勝金龍,K458,129,周俊樂 (-2),,12,巫偉傑,-,52,-,,-,,3,-,閹,0,1,-,CP1/TT1,葉樹彬與卓枻豐
8,5/3/9/7/2/13,,蜜蜜送,J502,126,董明朗,,4,韋達,-,49,0,,-,1.47.82,5,-,閹,"40,950",1,15,SR,岑健龍
9,9/9/5/5/2/3,,妙算奇勝,J377,125,霍宏聲,,2,廖康銘,-,48,-2,,-,,4,-,閹,0,+ 1,28,TT1,小資風雅團體
10,6/8/9/10/2/1,,幸運同行,J331,125,艾道拿,,1,蔡約翰,-,48,0,,-,1.46.91,6,-,閹,"23,400",1,18,B,鄒紹明先生及夫人
11,4/5/9/2/3/4,,精算特殊,H354,121,希威森,,8,鄭俊偉,-,44,0,,-,1.48.03,6,-,閹,"70,200",+ 1,28,TT,精算團體
12,13/6/3/8/6/6,,禾道威,J463,121,艾兆禮,,9,大衛希斯,-,44,-2,,-,,4,-,閹,0,1,28,B1/TT,楊惠波
13,3/4/4/2/4/14,,雙贏,H382,120,梁家俊,,3,文家良,-,43,1,,-,1.46.79,6,-,閹,"134,550",1,18,V/XB/TT,莊文煜醫生與馬婉如
14,4/6/7/10/2/5,,風起雲湧,J183,120,班德禮,,6,蘇偉賢,-,43,0,,-,1.46.82,5,-,閹,"93,600",1,18,B/TT,戴銘堃
