序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,9/9/2/1/3/8,,飲杯,J219,135,布文,,5,大衛希斯,-,80,0,,-,1.09.24,5,-,閹,0,* 1,15,CP/TT,黃志祥
2,6/2/1/1/1/2,,錶之星河,J343,134,潘頓,,1,文家良,-,79,0,,-,1.09.48,4,-,閹,"37,200",* 1,42,TT,楊建文
3,5/8/12/11/2/1,,耀寶,J437,132,艾兆禮,,8,羅富全,-,77,0,,-,1.08.55,5,-,閹,0,* 1,110,E/XB/TT,許晋亨
4,2/8/6/2,,晒冷,K369,128,霍宏聲,,2,廖康銘,-,73,0,,-,1.08.67,4,-,閹,"390,600",1,15,B,絕對回報團體
5,2,,久久為昇,K516,127,潘明輝,,4,賀賢,-,72,2,,-,1.08.87,4,-,閹,"390,600",+ 1,21,XB,何駿杰
6,1/1/2,,天賜喜,K026,122,周俊樂 (-2),,10,姚本輝,-,67,7,,-,1.09.36,4,-,閹,0,+ 1,273,,天賜團體
7,12,,狼來了,K353,121,金誠剛,,11,沈集成,-,66,0,,-,,3,-,閹,0,1,165,TT,李定匡
8,-,,見義勇為,K493,120,巴度,,6,黎昭昇,-,65,-,,-,,4,-,閹,0,* 1,-,B-/TT1,Sir Peter James Vela
9,12/10/14/1/6/11,,久久為軍,K231,120,鍾易禮 (-2),,7,告東尼,-,65,-1,,-,1.09.86,4,-,閹,0,1,15,TT,何駿杰
10,5/11/1/2,,合夥飛馳,K342,117,田泰安,,12,呂健威,-,62,0,,-,1.09.65,4,-,閹,"65,100",1,21,,劉軾瑄
11,11/2/1,,光年程祥,K204,117,蔡明紹,,3,巫偉傑,-,62,0,,-,1.09.66,3,-,閹,0,1,21,CP/TT,趙國明與肖冰
12,4/7/6/4/4/5,,添開心,H203,116,班德禮,,9,伍鵬志,-,61,-2,,-,1.08.91,6,-,閹,"111,600",1,15,B/TT,盧巨倫、盧浩、盧錫賢與盧靜媛
